UN,country_name,continent,spatial,temporal
australia,australia,Australia,3,8
azerbaijan,azerbaijan,Asia,3,8
barbados,barbados,North America,3,8
belize,belize,North America,3,8
bermuda,bermuda,North America,3,8
bhutan,bhutan,Asia,3,8
british_indian_ocean_territory,british_indian_ocean_territory,Oceania,3,8
british_virgin_islands,british_virgin_islands,Carribean,3,8
cayman_islands,cayman_islands,Carribean,3,8
chile,chile,South America,3,8
china,china,Asia,3,8
cook_islands,cook_islands,Oceania,3,8
costa_rica,costa_rica,North America,3,8
cuba,cuba,North America,3,8
curacao,curacao,North America,3,8
cyprus,cyprus,Asia,3,8
dominica,dominica,North America,3,8
dominican_republic,dominican_republic,Carribean,3,8
dutch_carribean_colonies,dutch_carribean_colonies,Carribean,3,8
east_timor,east_timor,Oceania,3,8
el_salvador,el_salvador,North America,3,8
equatorial_guinea,equatorial_guinea,Africa,3,8
falkland_islands,falkland_islands,South America,3,8
federated_states_of_micronesia,federated_states_of_micronesia,Oceania,3,8
fiji,fiji,Oceania,3,8
french_guiana,french_guiana,South America,3,8
french_polynesia,french_polynesia,Oceania,3,8
french_southern_and_antarctic_lands,french_southern_and_antarctic_lands,Oceania,3,8
georgia,georgia,Asia,3,8
greenland,greenland,North America,3,8
grenada,grenada,North America,3,8
guadeloupe,guadeloupe,Carribean,3,8
martinique,martinique,Carribean,3,8
guam,guam,Oceania,3,8
guatemala,guatemala,North America,3,8
guyana,guyana,South America,3,8
haiti,haiti,North America,3,8
heard_island_and_mcdonald_islands,heard_island_and_mcdonald_islands,Oceania,3,8
honduras,honduras,North America,3,8
indian_ocean_territories,indian_ocean_territories,Oceania,3,8
iran,iran,Asia,3,8
iraq,iraq,Asia,3,8
israel,israel,Asia,3,8
jamaica,jamaica,North America,3,8
japan,japan,Asia,3,8
kazakhstan,kazakhstan,Asia,3,8
kiribati,kiribati,Oceania,3,8
kyrgyzstan,kyrgyzstan,Asia,3,8
maldives,maldives,Oceania,3,8
marshall_islands,marshall_islands,Oceania,3,8
mauritius,mauritius,Oceania,3,8
mexico,mexico,North America,3,8
montserrat,montserrat,North America,3,8
nauru,nauru,Oceania,3,8
nepal,nepal,Asia,3,8
new_caledonia,new_caledonia,Oceania,3,8
new_zealand,new_zealand,Oceania,3,8
nicaragua,nicaragua,North America,3,8
niue,niue,Oceania,3,8
norfolk_island,norfolk_island,Oceania,3,8
north_korea,north_korea,asia,3,8
northern_mariana_islands,northern_mariana_islands,Oceania,3,8
pakistan,pakistan,Asia,3,8
palau,palau,Oceania,3,8
panama,panama,North America,3,8
peru,peru,South America,3,8
pitcairn_islands,pitcairn_islands,Oceania,3,8
puerto_rico,puerto_rico,Carribean,3,8
saint_barthelemy,saint_barthelemy,Carribean,3,8
saint_helena,saint_helena,Oceania,3,8
saint_kitts_and_nevis,saint_kitts_and_nevis,Carribean,3,8
saint_lucia,saint_lucia,Carribean,3,8
saint_martin,saint_martin,Carribean,3,8
saint_pierre_and_miquelon,saint_pierre_and_miquelon,North America,3,8
saint_vincent_and_the_grenadines,saint_vincent_and_the_grenadines,Carribean,3,8
samoa,samoa,Oceania,3,8
san_marino,san_marino,Carribean,3,8
seychelles,seychelles,Oceania,3,8
sint_maarten,sint_maarten,Carribean,3,8
solomon_islands,solomon_islands,Oceania,3,8
south_georgia_and_the_islands,south_georgia_and_the_islands,Oceania,3,8
south_korea,south_korea,Asia,3,8
sri_lanka,sri_lanka,Oceania,3,8
suriname,suriname,South America,3,8
tajikistan,tajikistan,Asia,3,8
the_bahamas,the_bahamas,Carribean,3,8
tonga,tonga,Oceania,3,8
trinidad_and_tobago,trinidad_and_tobago,Carribean,3,8
turkey,turkey,Asia,3,8
turkmenistan,turkmenistan,Asia,3,8
turks_and_caicos_islands,turks_and_caicos_islands,Carribean,3,8
united_states_virgin_islands,united_states_virgin_islands,Carribean,3,8
usa_hawaii,usa_hawaii,Oceania,3,8
uzbekistan,uzbekistan,Asia,3,8
vanuatu,vanuatu,Oceania,3,8
wallis_and_futuna,wallis_and_futuna,Oceania,3,8
angola,angola,Africa,1,1
argentina,argentina,South America,1,2
bahrain,bahrain,Asia,1,2
bangladesh,bangladesh,Asia,1,2
benin,benin,Africa,1,1
bolivia,bolivia,South America,1,2
botswana,botswana,Africa,1,1
brazil,brazil,South America,1,2
brunei,brunei,Asia,1,2
burkina_faso,burkina_faso,Africa,1,1
burundi,burundi,Africa,1,1
cabo_verde,cabo_verde,Africa,1,1
cambodia,cambodia,Asia,1,2
cameroon,cameroon,Africa,1,1
central_african_republic,central_african_republic,Africa,1,1
chad,chad,Africa,1,1
colombia,colombia,South America,1,2
comoros,comoros,Africa,1,1
democratic_republic_of_the_congo,democratic_republic_of_the_congo,Africa,1,1
ecuador,ecuador,South America,1,2
eritrea,eritrea,Africa,1,1
eswatini,eswatini,Africa,1,1
ethiopia,ethiopia,Africa,1,1
gabon,gabon,Africa,1,1
gambia,gambia,Africa,1,1
ghana,ghana,Africa,1,1
guinea,guinea,Africa,1,1
guinea_bissau,guinea_bissau,Africa,1,1
india,india,Asia,1,2
indonesia,indonesia,Asia,1,2
ivory_coast,ivory_coast,Africa,1,1
kenya,kenya,Africa,1,1
laos,laos,Asia,1,2
lesotho,lesotho,Africa,1,1
liberia,liberia,Africa,1,1
macao,macao,Asia,1,2
madagascar,madagascar,Africa,1,1
malawi,malawi,Africa,1,1
malaysia,malaysia,Asia,1,2
mali,mali,Africa,1,1
mozambique,mozambique,Africa,1,1
myanmar,myanmar,Asia,1,2
namibia,namibia,Africa,1,1
niger,niger,Africa,1,1
nigeria,nigeria,Africa,1,1
papua_new_guinea,papua_new_guinea,Oceania,1,2
paraguay,paraguay,South America,1,2
philippines,philippines,Asia,1,2
republic_of_the_congo,republic_of_the_congo,Africa,1,1
rwanda,rwanda,Africa,1,1
sao_tome_and_principe,sao_tome_and_principe,Africa,1,1
senegal,senegal,Africa,1,1
sierra_leone,sierra_leone,Africa,1,1
singapore,singapore,Asia,1,2
south_africa,south_africa,Africa,1,1
south_sudan,south_sudan,Africa,1,1
sudan,sudan,Africa,1,1
taiwan,taiwan,Asia,1,2
tanzania,tanzania,Africa,1,1
thailand,thailand,Asia,1,2
togo,togo,Africa,1,1
uganda,uganda,Africa,1,1
uruguay,uruguay,South America,1,2
venezuela,venezuela,South America,1,2
vietnam,vietnam,Asia,1,2
zambia,zambia,Africa,1,1
zimbabwe,zimbabwe,Africa,1,1
