Region,Country,V2022,V2024S1T5
Asia,Syria,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/765373194)
Asia,Taiwan,[2001-2021](https://scholar.colorado.edu/concern/datasets/df65v9276),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/6t053h714)
Asia,Tajikistan,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/9k41zg39z)
Asia,Thailand,[2001-2021](https://scholar.colorado.edu/concern/datasets/xs55md39h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qj72p868k)
Asia,Turkmenistan,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/4m90dx24j)
Asia,United Arab Emirates,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5138jg718)
Asia,Uzbekistan,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/ff365704w)
Asia,Vietnam,[2001-2021](https://scholar.colorado.edu/concern/datasets/h702q7566),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/rn301342p)
Asia,Yemen,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qb98mg91w)
Europe,Georgia,[2001-2021](https://scholar.colorado.edu/concern/datasets/gf06g385j),
Africa,Jordan,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),
Australia,Australia,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152) 
Australia,Tasmania,[2001-2021](https://scholar.colorado.edu/concern/datasets/c534fq19w),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152) 
Australia,Victoria,[2001-2021](https://scholar.colorado.edu/concern/datasets/2r36tz74f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152) 
Australia,New South Wales + Capital Territory,[2001-2021](https://scholar.colorado.edu/concern/datasets/37720d85c),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152) 
Australia,Queensland,[2001-2021](https://scholar.colorado.edu/concern/datasets/cr56n230n),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152) 
Australia,South Australia,[2001-2021](https://scholar.colorado.edu/concern/datasets/fn107015p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152) 
Australia,Western Australia,[2001-2021](https://scholar.colorado.edu/concern/datasets/k35695559),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152) 
Australia,Northern Territory,[2001-2021](https://scholar.colorado.edu/concern/datasets/bn9997900),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152) 
Oceania,Philippines,[2001-2021](https://scholar.colorado.edu/concern/datasets/7d278v06f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/b8515q26w)
Oceania,Papua New Guinea,[2001-2021](https://scholar.colorado.edu/concern/datasets/3r074w183),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/bk128c732)
Oceania,East Timor,[2001-2021](https://scholar.colorado.edu/concern/datasets/j098zc184),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/c247dt86h)
Oceania,New Caledonia,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/8w32r765q)
Oceania,New Zealand,[2001-2021](https://scholar.colorado.edu/concern/datasets/9g54xj88f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/h989r495c)
Oceania,Malaysia,[2001-2021](https://scholar.colorado.edu/concern/datasets/fq977w13f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/3484zj46h)
Oceania,Brunei,[2001-2021](https://scholar.colorado.edu/concern/datasets/mp48sd92p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/0v8382100)
Oceania,Indonesia,[2001-2021](https://scholar.colorado.edu/concern/datasets/p2676w918),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/3b591b55c)
Oceania,Samoa,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/kw52j9917)
Oceania,Singapore,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/12579t91m)
Oceania,Solomon Islands,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/6t053h70v)
Oceania,Vanuatu,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/z316q351t)
Entire Western hemisphere,Intended for use in conjunction with GOES16 active fire detections.,[Jan 2017 to March 2020](https://scholar.colorado.edu/concern/datasets/d217qq78g),
